iter	RMSE
0	1609629.109
1	1579623.88
2	1551913.57
3	1524332.716
4	1497422.49
5	1471361.256
6	1450498.22
7	1427626.67
8	1403865.903
9	1380347.636
10	1358897.355
11	1338591.074
12	1318670.899
13	1299666.337
14	1281828.583
15	1265141.971
16	1247522.093
17	1229939.612
18	1214148.385
19	1198211.182
20	1183400.272
21	1169429.073
22	1155920.687
23	1142436.671
24	1131975.413
25	1119672.675
26	1108788.043
27	1098417.212
28	1086781.179
29	1076797.625
30	1067716.381
31	1057860.151
32	1047381.14
33	1037747.148
34	1029820.763
35	1020305.119
36	1012894.958
37	1004460.906
38	998107.9695
39	990414.6537
40	984794.0683
41	976993.0544
42	970108.922
43	964140.4179
44	957738.4251
45	949649.2885
46	943227.0532
47	935626.0352
48	928812.6472
49	923628.7562
50	916573.9346
51	910568.5505
52	906153.7591
53	901252.3644
54	897977.5856
55	893862.4473
56	889497.8284
57	885821.7033
58	880420.4457
59	875320.3481
60	871062.8568
61	867485.6664
62	862056.275
63	859023.098
64	856361.1229
65	853155.0632
66	850114.049
67	847883.5726
68	844804.0151
69	841559.065
70	838679.0448
71	835180.2476
72	830904.1195
73	828166.0817
74	824504.1861
75	821239.7646
76	819114.4693
77	817084.0147
78	814330.496
79	811872.2242
80	807868.8618
81	804956.0569
82	802659.2901
83	800881.4302
84	797438.9359
85	794322.5588
86	790790.1747
87	787629.8601
88	786153.3853
89	784632.1018
90	782229.0711
91	779936.8769
92	778070.0407
93	776947.6069
94	775884.1323
95	775284.3578
96	773304.8586
97	770321.0705
98	769476.7403
99	768540.1052
100	765731.076
101	764190.7889
102	762431.5608
103	760619.0066
104	758650.2683
105	756354.3843
106	754623.114
107	752593.5724
108	751195.3035
109	749589.8204
110	749162.7237
111	747631.2366
112	745582.5367
113	744476.7255
114	742735.9766
115	741911.4303
116	740975.5392
117	739021.2979
118	737534.6147
119	735546.2668
120	734057.964
121	731969.0535
122	731577.3041
123	730207.4792
124	729479.8904
125	728064.6005
126	725382.9411
127	723587.6807
128	722796.0027
129	721157.6486
130	719405.604
131	717869.1885
132	715965.7535
133	714706.1454
134	713840.5084
135	712518.5488
136	711277.3828
137	709163.3123
138	706884.504
139	705621.783
140	705002.0632
141	703031.8742
142	702134.3853
143	700949.9793
144	699628.4777
145	698570.3489
146	697803.5713
147	696991.3981
148	695370.9971
149	694576.7675
150	693765.8195
151	693280.2914
152	692273.9426
153	690785.1735
154	689864.7491
155	689310.4736
156	688839.2726
157	687875.4065
158	687030.5196
159	686118.9567
160	685024.2566
161	683731.456
162	683332.7733
163	681944.1837
164	680458.7996
165	680174.4294
166	678815.8322
167	677620.2959
168	676554.6552
169	676283.2877
170	676140.7213
171	674392.4024
172	672922.7126
173	671391.0803
174	670219.5251
175	669757.7787
176	669111.6356
177	668030.8498
178	666792.6767
179	666311.4528
180	665008.9125
181	664007.3075
182	662833.8326
183	662667.2309
184	661749.3027
185	661214.2134
186	659830.9965
187	658739.9971
188	658184.7101
189	657059.4203
190	656312.5016
191	655116.3942
192	654695.2341
193	653505.705
194	651836.5928
195	650515.6283
196	650427.1998
197	649068.9487
198	647475.596
199	646409.3248
200	645562.9871
201	644334.8905
202	643029.7811
203	642425.7941
204	641344.0335
205	640327.3602
206	639014.9066
207	638060.9796
208	637198.0066
209	635976.4494
210	634849.0647
211	634096.867
212	632980.1067
213	631479.9267
214	631090.2842
215	630112.0855
216	629315.4261
217	628145.8955
218	627533.0751
219	627116.5622
220	626116.083
221	625586.4502
222	625095.4105
223	624159.7162
224	623029.6161
225	621680.9523
226	620788.1985
227	619710.8841
228	619322.6904
229	618436.1684
230	617890.4804
231	616803.2482
232	615455.0113
233	614961.7457
234	613978.473
235	613471.1692
236	612850.7107
237	612146.1194
238	610967.2467
239	609890.2493
240	608844.2633
241	608058.3337
242	607461.1309
243	606659.7641
244	605589.8324
245	604642.6759
246	603918.1239
247	603041.2626
248	601758.1242
249	601367.8177
250	600599.5965
251	599709.3427
252	598409.7095
253	596934.687
254	596282.0791
255	595416.6955
256	594807.5556
257	594131.5069
258	593370.4932
259	593055.4142
260	592044.5079
