iter	Passed	Remaining
0	53	53312
1	55	27855
2	58	19314
3	62	15604
4	65	12948
5	68	11271
6	71	10127
7	74	9221
8	77	8579
9	80	7984
10	84	7559
11	86	7093
12	88	6745
13	92	6515
14	95	6285
15	97	5985
16	99	5757
17	102	5597
18	104	5408
19	107	5271
20	109	5118
21	112	5000
22	115	4894
23	117	4796
24	118	4637
25	121	4549
26	124	4480
27	126	4397
28	128	4316
29	131	4238
30	133	4174
31	135	4108
32	144	4237
33	147	4197
34	150	4142
35	154	4132
36	156	4077
37	159	4035
38	161	3987
39	164	3956
40	165	3876
41	169	3870
42	172	3838
43	174	3801
44	177	3764
45	181	3756
46	184	3734
47	186	3704
48	188	3666
49	191	3642
50	195	3640
51	199	3631
52	201	3596
53	202	3555
54	203	3498
55	205	3458
56	206	3422
57	208	3378
58	209	3342
59	211	3308
60	212	3277
61	214	3245
62	216	3221
63	218	3192
64	220	3169
65	222	3150
66	224	3121
67	225	3097
68	227	3070
69	229	3043
70	230	3018
71	233	3003
72	234	2978
73	236	2954
74	237	2930
75	239	2909
76	240	2887
77	242	2865
78	244	2845
79	247	2840
80	248	2823
81	250	2803
82	252	2788
83	254	2771
84	255	2753
85	257	2741
86	259	2724
87	261	2707
88	264	2709
89	267	2700
90	270	2699
91	273	2696
92	275	2684
93	279	2689
94	281	2681
95	282	2657
96	284	2650
97	287	2645
98	288	2625
99	290	2612
100	292	2600
101	294	2596
102	297	2590
103	300	2588
104	302	2574
105	304	2567
106	306	2553
107	307	2542
108	310	2536
109	312	2529
110	313	2511
111	316	2506
112	318	2501
113	321	2495
114	323	2487
115	325	2481
116	328	2476
117	330	2471
118	332	2461
119	334	2453
120	337	2453
121	339	2443
122	340	2426
123	341	2414
124	344	2409
125	347	2407
126	349	2399
127	350	2390
128	353	2384
129	354	2374
130	357	2369
131	359	2364
132	362	2361
133	364	2354
134	366	2347
135	368	2338
136	370	2335
137	373	2332
138	376	2330
139	378	2324
140	380	2316
141	383	2314
142	384	2305
143	386	2296
144	388	2293
145	391	2289
146	394	2286
147	396	2281
148	398	2275
149	400	2267
150	402	2261
151	404	2256
152	407	2253
153	409	2250
154	412	2251
155	415	2249
156	418	2245
157	420	2241
158	423	2239
159	425	2236
160	428	2231
161	431	2230
162	432	2222
163	434	2217
164	437	2213
165	438	2204
166	441	2202
167	443	2196
168	446	2193
169	448	2188
170	448	2175
171	450	2168
172	451	2160
173	453	2154
174	455	2149
175	458	2146
176	461	2148
177	464	2142
178	466	2139
179	469	2136
180	470	2130
181	472	2122
182	474	2117
183	474	2105
184	476	2100
185	478	2094
186	480	2091
187	482	2084
188	484	2077
189	485	2070
190	491	2081
191	494	2081
192	496	2075
193	497	2068
194	499	2061
195	501	2055
196	501	2043
197	502	2037
198	504	2030
199	508	2032
200	510	2028
201	512	2023
202	514	2018
203	515	2012
204	517	2006
205	519	2000
206	520	1994
207	522	1988
208	526	1992
209	528	1986
210	530	1982
211	532	1978
212	533	1972
213	535	1967
214	537	1961
215	538	1956
216	540	1950
217	542	1945
218	543	1939
219	545	1934
220	547	1928
221	548	1923
222	550	1917
223	551	1912
224	553	1906
225	555	1901
226	556	1895
227	558	1890
228	559	1885
229	561	1879
230	562	1874
231	564	1868
232	566	1863
233	567	1858
234	569	1852
235	570	1847
236	572	1843
237	574	1838
238	575	1833
239	577	1828
240	579	1824
241	580	1819
242	582	1815
243	584	1810
244	586	1806
245	587	1801
246	589	1797
247	591	1792
